agg_rating,bar_name1,bar_name2,bar_name3,bar_name4,bar_name5,bar_pct1,bar_pct2,bar_pct3,bar_pct4,bar_pct5,ceo_approval_pct,ceo_approval_ratings,comp_ben_rating,company_count_QnA,company_count_jobs,company_count_photos,company_count_reviews,company_count_salaries,company_empl,company_facebook,company_hq,company_indeed_url,company_industry,company_name,company_overall_rating,company_rev,company_twitter,company_website,con_text,culture_rating,helpful_downvote_count,helpful_upvote_count,jobsec_advancement_rating,main_text,management_rating,pro_text,rating_name1,rating_name2,rating_name3,rating_name4,rating_name5,rating_scr1,rating_scr2,rating_scr3,rating_scr4,rating_scr5,review_date,review_title,reviewer_company_empl_status,reviewer_job_location,reviewer_job_title,top_list,work_life_rating
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,6,12,width: 100.0%;,I worked at Facebook as Security.. Each day was different and I learned something new. The environment was wonderful to be in & everyone was pleasent.,width: 100.0%;,Free breakfast and lunches,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 24, 2017",Learning experience, (Former Employee) –  ,"New York, NY",Security Officer,Best Fortune 500 Companies,width: 100.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,16,16,width: 0.0%;,• Racks and stacks servers and network equipment into cabinets.,width: 100.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"August 21, 2012",good company, (Former Employee) –  ,"Santa Clara, CA",Data Center Support,Best Fortune 500 Companies,width: 100.0%;
width: 80.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 80.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,sometimes working nights and weekends,width: 100.0%;,5,19,width: 80.0%;,Tons of smart people shipping products everyday. The IT department gives you whatever you need to get your job done.,width: 60.0%;,free meals,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 26, 2012",Fun place to work, (Current Employee) –  ,"Menlo Park, CA",Product Analytics Engineer,Best Fortune 500 Companies,width: 80.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 80.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,"long ""expected"" hours w/o recognition",width: 40.0%;,7,39,width: 40.0%;,"Many Managers are selected based on ability to manage a tool or program, and are clueless when dealing with real live humans",width: 20.0%;,peers are awesome; relaxed creative culture,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"April 21, 2012",Creative environment; onboarding ramp-up is non existent, (Current Employee) –  ,"Menlo Park, CA",Business Analyst,Best Fortune 500 Companies,width: 20.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,6,12,width: 100.0%;,I worked at Facebook as Security.. Each day was different and I learned something new. The environment was wonderful to be in & everyone was pleasent.,width: 100.0%;,Free breakfast and lunches,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 24, 2017",Learning experience, (Former Employee) –  ,"New York, NY",Security Officer,Best Fortune 500 Companies,width: 100.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 20.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,14,9,width: 100.0%;,A typical day at work consisted of having a plan for he 100 plus kids. i learned proper planning can take you a long way. My co workers were all energetic and positive. the hardest part of this job was cleaning up after lunch. The most enjoyable part of the job was watching the children grow up and they remember their experience at summer camp.,width: 100.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"September 9, 2014",Exciting job, (Former Employee) –  ,Maryland,Assistant Director,Best Fortune 500 Companies,width: 100.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 80.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,"under a contract so a lot of perks were limited. No vacation days, no healthcare, no use of the gym or company wide events.",width: 100.0%;,10,11,width: 20.0%;,"I am under a contract of one year but in that time, a typical day at work involved 3 square meals for free, activities after work and a very relaxed feel of the company as a whole.",width: 100.0%;,Free meals 3 times a day,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"August 27, 2014",Very fun place to work but also professional in every sense., (Current Employee) –  ,"Menlo Park, CA",User Operations Specialist,Best Fortune 500 Companies,width: 100.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 0.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,Very crowded,width: 0.0%;,6,13,width: 0.0%;,"I worked in the security department. Was not the most enjoyable, but working at the Facebook HQ was great! Facebook is a great company if you work in house.",width: 0.0%;,Free everything!,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 29, 2014",Fun place to work, (Former Employee) –  ,"Menlo Park, CA",Global Security Operator,Best Fortune 500 Companies,width: 0.0%;
width: 40.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 0.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 0.0%;,6,26,width: 0.0%;,This is a company that does not value work life balance.  The amount of time required to put in each week would be impossible if your colleagues aren't like your family or best friends.,width: 0.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 13, 2014",Zero Balance, (Former Employee) –  ,"Phoenix, AZ",Sales and Marketing,Best Fortune 500 Companies,width: 0.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,,,width: 80.0%;,Great place to work if you like to keep yourself updated and are highly data-driven.,width: 80.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 3, 2014",Fast paced environment, (Former Employee) –  ,JPC,Media Solutions Intern,Best Fortune 500 Companies,width: 100.0%;
